2016-04-09 01:26:16,070 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:26:16,071 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:26:16,072 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:26:45,661 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:26:45,662 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:26:45,664 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:26:45,665 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:27:00,237 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:27:00,239 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:27:00,240 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:27:00,241 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:27:12,693 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:27:12,695 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:27:12,696 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:27:12,697 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:27:26,670 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:27:26,671 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:27:26,672 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:27:26,673 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:27:32,924 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:27:32,925 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:27:32,926 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:27:32,928 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:28:22,322 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:28:22,323 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:28:22,324 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:28:22,325 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:29:49,792 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:29:49,793 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:29:49,794 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:29:49,794 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:31:01,448 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:31:01,449 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:31:01,451 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:31:01,452 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
2016-04-09 01:31:28,403 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:31:28,405 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\main\resources
2016-04-09 01:31:28,406 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 01:31:28,407 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Joao Nogueira\Documents\GitHub\COMP-PDG\COMP_project_1\src\test\resources
